Player,Batting_Impact,Bowling_Impact,Talent_Score
HH Gibbs,10183.902270011948,0.0,6110.341362007169
DJ Hooda,10002.288211046989,100.0,6041.372926628193
MM Ali,9792.51676300578,410.0,6039.510057803468
KP Pietersen,9856.181002638523,70.0,5941.708601583114
BA Stokes,9396.328690807799,280.0,5749.797214484679
GC Smith,9356.47062228654,0.0,5613.882373371925
A Symonds,9169.12676056338,200.0,5581.476056338028
M Vohra,9247.974971031286,0.0,5548.784982618771
LS Livingstone,9151.555555555555,130.0,5542.9333333333325
SO Hetmyer,9215.19734345351,0.0,5529.118406072106
V Shankar,9069.103553299492,90.0,5477.462131979695
HM Amla,8961.231578947369,0.0,5376.738947368421
CL White,8813.31472868217,0.0,5287.988837209302
MS Bisla,8758.767164179104,0.0,5255.260298507462
SM Curran,8058.493298291721,590.0,5071.095978975032
A Badoni,8404.593438639124,0.0,5042.756063183474
RK Singh,8201.646511627907,0.0,4920.987906976744
KM Jadhav,8091.279051383399,0.0,4854.767430830039
MC Henriques,7587.371285892634,420.0,4720.42277153558
Dhruv Jurel,7731.5,0.0,4638.9
LRPL Taylor,7681.2722550177095,0.0,4608.763353010626
Y Venugopal Rao,7526.7895953757225,60.0,4540.073757225433
ST Jayasuriya,7358.510994764398,130.0,4467.106596858638
C Green,7140.40857699805,170.0,4352.24514619883
IK Pathan,6630.945177664974,800.0,4298.5671065989845
JJ Roy,7136.104347826087,0.0,4281.662608695652
PC Valthaty,6849.048148148147,70.0,4137.428888888889
JA Morkel,6263.89213483146,850.0,4098.335280898876
E Lewis,6777.797595190381,0.0,4066.678557114228
JM Sharma,6685.094875549048,0.0,4011.056925329429
N Wadhera,6592.778947368421,0.0,3955.6673684210523
JD Ryder,6537.397424892703,80.0,3954.438454935622
R Tewatia,6080.668941979522,320.0,3776.401365187713
Priyansh Arya,6240.853185595568,0.0,3744.5119113573405
A Raghuvanshi,6098.1107142857145,0.0,3658.8664285714285
Shakib Al Hasan,5654.848120300751,630.0,3644.9088721804505
Shashank Singh,6018.537099811676,0.0,3611.1222598870054
Abishek Porel,5909.451982378855,0.0,3545.671189427313
RS Bopara,5801.818803418803,110.0,3525.0912820512817
T Stubbs,5847.695238095238,0.0,3508.617142857143
RD Rickelton,5706.397183098592,0.0,3423.8383098591553
TL Suman,5438.684838160137,60.0,3287.2109028960817
SN Khan,5473.448956356737,0.0,3284.069373814042
AD Mathews,5289.54958263773,270.0,3281.729749582638
A Mhatre,5367.28547008547,0.0,3220.3712820512815
TH David,5345.393939393939,0.0,3207.2363636363634
